2025-11-07 16:35:23 [main] INFO  Hooks:20 -  $$$$$$\  $$$$$$$\   $$$$$$\  $$\   $$\  $$$$$$\  $$$$$$$$\       $$\   $$\ $$$$$$$\  $$\      $$\        $$$$$$\  $$\   $$\ $$$$$$$$\  $$$$$$\  $$\      $$\  $$$$$$\ $$$$$$$$\ $$$$$$\  $$$$$$\  $$\   $$\ 
$$  __$$\ $$  __$$\ $$  __$$\ $$$\  $$ |$$  __$$\ $$  _____|      $$ |  $$ |$$  __$$\ $$$\    $$$ |      $$  __$$\ $$ |  $$ |\__$$  __|$$  __$$\ $$$\    $$$ |$$  __$$\\__$$  __|\_$$  _|$$  __$$\ $$$\  $$ |
$$ /  $$ |$$ |  $$ |$$ /  $$ |$$$$\ $$ |$$ /  \__|$$ |            $$ |  $$ |$$ |  $$ |$$$$\  $$$$ |      $$ /  $$ |$$ |  $$ |   $$ |   $$ /  $$ |$$$$\  $$$$ |$$ /  $$ |  $$ |     $$ |  $$ /  $$ |$$$$\ $$ |
$$ |  $$ |$$$$$$$  |$$$$$$$$ |$$ $$\$$ |$$ |$$$$\ $$$$$\          $$$$$$$$ |$$$$$$$  |$$\$$\$$ $$ |      $$$$$$$$ |$$ |  $$ |   $$ |   $$ |  $$ |$$\$$\$$ $$ |$$$$$$$$ |  $$ |     $$ |  $$ |  $$ |$$ $$\$$ |
$$ |  $$ |$$  __$$< $$  __$$ |$$ \$$$$ |$$ |\_$$ |$$  __|         $$  __$$ |$$  __$$< $$ \$$$  $$ |      $$  __$$ |$$ |  $$ |   $$ |   $$ |  $$ |$$ \$$$  $$ |$$  __$$ |  $$ |     $$ |  $$ |  $$ |$$ \$$$$ |
$$ |  $$ |$$ |  $$ |$$ |  $$ |$$ |\$$$ |$$ |  $$ |$$ |            $$ |  $$ |$$ |  $$ |$$ |\$  /$$ |      $$ |  $$ |$$ |  $$ |   $$ |   $$ |  $$ |$$ |\$  /$$ |$$ |  $$ |  $$ |     $$ |  $$ |  $$ |$$ |\$$$ |
 $$$$$$  |$$ |  $$ |$$ |  $$ |$$ | \$$ |\$$$$$$  |$$$$$$$$\       $$ |  $$ |$$ |  $$ |$$ | \_/ $$ |      $$ |  $$ |\$$$$$$  |   $$ |    $$$$$$  |$$ | \_/ $$ |$$ |  $$ |  $$ |   $$$$$$\  $$$$$$  |$$ | \$$ |
 \______/ \__|  \__|\__|  \__|\__|  \__| \______/ \________|      \__|  \__|\__|  \__|\__|     \__|      \__|  \__| \______/    \__|    \______/ \__|     \__|\__|  \__|  \__|   \______| \______/ \__|  \__|
                                                                                                                                                                                                             
                                                                                                                                                                                                             
                                                                                                                                                                                                             
2025-11-07 16:35:23 [main] INFO  Hooks:34 - Launching Browser.....
2025-11-07 16:35:25 [main] INFO  ActionHelper:38 - Navigating to URL: https://opensource-demo.orangehrmlive.com/
2025-11-07 16:35:29 [main] INFO  ActionHelper:56 - Wating for element to be visible: By.name: username
2025-11-07 16:35:29 [main] INFO  ActionHelper:60 - Sent keys to element: By.name: username | Value : Admin
2025-11-07 16:35:29 [main] INFO  ActionHelper:56 - Wating for element to be visible: By.name: password
2025-11-07 16:35:29 [main] INFO  ActionHelper:60 - Sent keys to element: By.name: password | Value : admin123
2025-11-07 16:35:29 [main] INFO  ActionHelper:44 - Wating for element to be clickable: By.xpath: //button[@type='submit']
2025-11-07 16:35:31 [main] INFO  ActionHelper:47 - Clicked on element: By.xpath: //button[@type='submit']
2025-11-07 16:35:31 [main] INFO  ActionHelper:81 - Element displayed:By.xpath: //h6[text()='Dashboard'] : true
2025-11-07 16:35:31 [main] INFO  ActionHelper:44 - Wating for element to be clickable: By.xpath: //a[contains(@href,'/pim/viewPim')]
2025-11-07 16:35:34 [main] INFO  ActionHelper:47 - Clicked on element: By.xpath: //a[contains(@href,'/pim/viewPim')]
2025-11-07 16:35:34 [main] INFO  ActionHelper:44 - Wating for element to be clickable: By.xpath: //a[contains(@href,'/pim/viewPim')]
2025-11-07 16:35:35 [main] INFO  ActionHelper:47 - Clicked on element: By.xpath: //a[contains(@href,'/pim/viewPim')]
2025-11-07 16:35:35 [main] INFO  ActionHelper:44 - Wating for element to be clickable: By.xpath: //button[text()=' Add ']
2025-11-07 16:35:37 [main] INFO  ActionHelper:47 - Clicked on element: By.xpath: //button[text()=' Add ']
2025-11-07 16:35:37 [main] INFO  ActionHelper:56 - Wating for element to be visible: By.name: firstName
2025-11-07 16:35:37 [main] INFO  ActionHelper:60 - Sent keys to element: By.name: firstName | Value : Rahul
2025-11-07 16:35:37 [main] INFO  ActionHelper:56 - Wating for element to be visible: By.name: lastName
2025-11-07 16:35:37 [main] INFO  ActionHelper:60 - Sent keys to element: By.name: lastName | Value : Kumar
